HFA ID,Address,Building Units,Owner Name,HUD LIHTC ID,BBL / Parcel ID,BIN (NYC DOB),Census Tract (2020),Assembly District,State Senate District,Congressional District,latitude,longitude,Property name,Total Project Units,Number of buildings in project,Management name,Contact address,Contact phone,Contact email,County,New Construction / Rehab,Placed-in-Service date,Floodplain 100-yr / 500-yr flag,School district name,School district SDL code,x,y
1644,"20 East 3rd Street, Mount Vernon, 10550",133,"Grace Towers Housing II, LLC",NY-10-90110,,NA,36119003100,89,36,16,40.906967,-73.83377,GRACE TOWERS II,133,1,Community Housing Management Corp.,,,,Westchester,Preservation / Rehab,4/8/2010,Not in floodplain,MT VERNON SCHOOL DISTRICT,660900,598220.4906732934,4529084.230619108
1649,"1 South Delaware Ave, Glens Falls, 12801",41,Hudson Avenue Housing Associates LLC,NY-07-90038,,NA,36113070200,113,45,21,43.30609228,-73.65044471,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,7/29/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609453.0380133896,4795690.966323869
1649,"24 Columbia Ave, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90039,,NA,36113070200,113,45,21,43.30754963,-73.64932877,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,2/28/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609540.9277102887,4795854.277094103
1649,"40 Broad Street, Glens Falls, 12801",5,Hudson Avenue Housing Associates LLC,NY-07-90040,,NA,36113070200,113,45,21,43.30768507,-73.64967199,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,2/28/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609512.8486795824,4795868.868423012
1649,"50 Broad Street, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90041,,NA,36113070200,113,45,21,43.30753118,-73.65005641,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,2/28/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609481.9477587033,4795851.273974838
1649,"60 Broad Street, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90042,,NA,36113070200,113,45,21,43.30732344,-73.6505371,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,2/28/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609443.3355977458,4795827.573135257
1649,"70 Broad Street, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90043,,NA,36113070200,113,45,21,43.3071833,-73.65089331,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,2/28/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609414.6975486922,4795811.542991714
1649,"3 South Delaware Ave, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90044,,NA,36113070200,113,45,21,43.30694885,-73.65081235,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,11/13/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609421.684226543,4795785.611945489
1649,"31 Hudson Ave, Glens Falls, 12801",5,Hudson Avenue Housing Associates LLC,NY-07-90045,,NA,36113070200,113,45,21,43.30613478,-73.64927386,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,6/29/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609547.9222449175,4795697.221316839
1649,"105 South Street, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90046,,NA,36113070200,113,45,21,43.30646135,-73.64896162,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,6/29/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609572.6594419165,4795733.898526501
1649,"103 South Street, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90047,,NA,36113070200,113,45,21,43.30672701,-73.64881835,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,6/29/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609583.8018226936,4795763.589680623
1649,"4 South Delaware Ave, Glens Falls, 12801",6,Hudson Avenue Housing Associates LLC,NY-07-90048,,NA,36113070200,113,45,21,43.30631387,-73.65172235,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,9/23/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609349.0190872147,4795713.901652693
1649,"43 Hudson Ave, Glens Falls, 12801",6,Hudson Avenue Housing Associates LLC,NY-07-90049,,NA,36113070200,113,45,21,43.30581913,-73.65166824,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,9/23/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609354.2946236357,4795659.028588623
