Property Name,Contract No.,Address,County,Agent name,Owner name,NYC flag,BIN (NYC DOB),BBL / Parcel ID,State Senate District (current),Assembly District (current),Congressional District (current),Tract GEOID (2020 Census),Floodplain flag,School district name,School district SDL code,latitude,longitude,Property Code,x,y
Pope John Paul II Senior Apartments,NY36T791013,"255 Ovington Ave, Brooklyn, 11209",Kings,Progress of Peoples Mgmt Corp,Pope John Paul II Senior Apartments L.P.,NYC,3145632,3058710061,26,64,11,36047006800,,NYC GEOG DIST #20 - BROOKLYN,332000,40.63520439,-74.02722628,800015617,582261.766332394,4498717.37422658
Park Lane Apts,NY36L000270,"1965 Lafayette Ave, Bronx, 10473",Bronx,Grenadier Realty Corp,Park Lane Tower LLC,NYC,2022645,2036720001,34,87,14,36005001600,,NYC GEOG DIST # 8 - BRONX,320800,40.82248482,-73.8562999,800015619,596445.4740309834,4519680.8044431545
Parkview Senior Citizens Apts,NY36T801013,"2000 Washington Ave, Bronx, 10457",Bronx,Wavecrest Management Team Ltd,178th Street HDFC Inc,NYC,2817179,2030440002,32,86,15,36005039500,,NYC GEOG DIST #10 - BRONX,321000,40.84878,-73.896842,800015621,592989.8385103373,4522555.98675328
Pepper Tree Heights,NY06H108020,"285 Pepper Tree DR, AMHERST, 14228",Erie,M.J. Peterson Corporation,Pepper Tree Heights Senior LLC,ROS,,,61,146,26,36029009116,,SWEET HOME CSD,140207,43.02124978,-78.81787594,800015622,188902.30143029883,4770251.6755591035
Plaza Borinquen,NYPF0029504,"411 E 137th ST, BRONX, 10454",Bronx,Ashton Management Corporation,Plaza Borinquen 88 Owner II L.P.,NYC,2091028,2022820075,29,84,15,36005002500,,NYC GEOG DIST # 7 - BRONX,320700,40.80830521,-73.92270574,800015625,590864.8762212333,4518035.781054955
Panther Mountain Apts,NY020017001,"61 Panther Mountain Dr, Chestertown, 12817",Warren,Innovative Property Management Services LLC,WVR Properties LLC,ROS,,,45,114,21,36113075001,,NORTH WARREN CSD,630202,43.65033534,-73.79845057,800015627,596897.4528866996,4833738.914902126
Park Drive Manor II,NY06H108047,"430 Park Drive Manor II, Rome, 13440",Oneida,CRM Rental Management Inc,"Park Drive Manor II Redevelopment Company, LLC",ROS,,,53,119,22,36065022500,,ROME CITY SD,411800,43.21848206,-75.42212838,800015630,465715.1513225755,4785163.809005755
Park Ridge Commons,NY06T831009,"1465 Long Pond Road, Rochester, 14626",Monroe,Unity Aging Services,"Park Ridge Housing Development Fund Company, Inc.",ROS,,,56,134,25,36055014104,,GREECE CSD,260501,43.19639198,-77.70279984,800015633,280396.9215925436,4786171.003216224
Parkhill I Apts,NY36L000003,"140 Parkhill Ave, Staten Island, 10304",Richmond,185-225 Parkhill LLC,Poonam Apartments LLC,NYC,5116727,5029220265,23,61,11,36085004003,,NYC GEOG DIST #31 - STATEN ISLAND,353100,40.61644867,-74.08096794,800015636,577738.833640783,4496586.539352902
Parkhill II Apts,NY36L000002,"240 Parkhill Ave, Staten Island, 10304",Richmond,185-225 Parkhill LLC,Kimso Apartments LLC,NYC,5106238,5029220001,23,61,11,36085004003,,NYC GEOG DIST #31 - STATEN ISLAND,353100,40.61353317,-74.08248822,800015637,577613.6088850768,4496261.564611241
